# Geodesic pattern 24 class 2 npts 17282 area_per_point= 2.3870 
# From geodesic_tiling_pattern_npts17282.txt
# http://www.mpe.mpg.de/~4most/4FS/geodesic_pattern_list.html
# As adopted by BLISS and DeCALS
# RA            DEC
322.653297  -62.790942
324.326093  -64.381118
326.186012  -65.944446
328.266949  -67.476971
330.610318  -68.973788
333.266680  -70.428744
336.297450  -71.834049
339.776324  -73.179776
343.789638  -74.453254
348.434092  -75.638370
353.809120  -76.714924
  0.000000  -77.658305
  7.048074  -78.440069
 14.909361  -79.030157
 23.415490  -79.401333
 32.265761  -79.535280
 41.075703  -79.428029
 49.471042  -79.091674
 57.175788  -78.551202
 64.048747  -77.838372
 70.066685  -76.985778
 75.282871  -76.022984
 79.787423  -74.974870
 83.680274  -73.861464
 87.056490  -72.698491
321.432876  -58.151651
322.866120  -59.766542
324.432643  -61.358894
326.152960  -62.925860
328.051513  -64.464070
330.157449  -65.969478
332.505472  -67.437175
335.136724  -68.861146
338.099535  -70.233982
341.449734  -71.546524
345.249975  -72.787461
349.567119  -73.942926
354.466306  -74.996172
360.000000  -75.927529
  6.190880  -76.714924
 13.009804  -77.335340
 20.355066  -77.767447
 28.044779  -77.995170
 35.834223  -78.011235
 43.458821  -77.819195
 50.686176  -77.432909
 57.353644  -76.873702
 63.378860  -76.166536
 68.747610  -75.336593
 73.491862  -74.407023
 77.668600  -73.397864
 81.344241  -72.325807
 84.585077  -71.204429
 87.452304  -70.044613
322.949050  -56.745057
324.424710  -58.339839
326.029053  -59.910714
327.780316  -61.454724
329.699827  -62.968427
331.812499  -64.447762
334.147310  -65.887896
336.737729  -67.283038
339.621932  -68.626219
342.842589  -69.909041
346.445851  -71.121420
350.478977  -72.251351
354.985905  -73.284761
360.000000  -74.205576
  5.533694  -74.996172
 11.565908  -75.638370
 18.030316  -76.115111
 24.809839  -76.412678
 31.743077  -76.523027
 38.644611  -76.445467
 45.333988  -76.187041
 51.662849  -75.761407
 57.530851  -75.186674
 62.887672  -74.482957
 67.724760  -73.670301
 72.062826  -72.767296
 75.939781  -71.790356
 79.401378  -70.753500
 82.494961  -69.668442
 85.265801  -68.544827
 87.755241  -67.390519
325.835777  -56.901010
327.466161  -58.450541
329.235913  -59.972001
331.163562  -61.461922
333.270340  -62.916280
335.580433  -64.330374
338.121125  -65.698675
340.922734  -67.014668
344.018181  -68.270674
347.441937  -69.457688
351.228043  -70.565241
355.406828  -71.581358
  0.000000  -72.492666
  5.014095  -73.284761
 10.432881  -73.942926
 16.210362  -74.453254
 22.267031  -74.804104
 28.492282  -74.987669
 34.754452  -75.001263
 40.916961  -74.847912
 46.855966  -74.536052
 52.474159  -74.078406
 57.707346  -73.490407
 62.523759  -72.788601
 66.918464  -71.989326
 70.905821  -71.107823
 74.512223  -70.157743
 77.770263  -69.150967
 80.714584  -68.097626
 83.379234  -67.006242
 85.796146  -65.883906
 87.994404  -64.736478
327.116717  -55.453435
328.764070  -56.981857
330.542993  -58.481248
332.469547  -59.948149
334.561816  -61.378610
336.840012  -62.768088
339.326452  -64.111335
342.045367  -65.402277
345.022387  -66.633893
348.283586  -67.798113
351.853877  -68.885744
355.754575  -69.886479
  0.000000  -70.789015
  4.593172  -71.581358
  9.521023  -72.251351
 14.750025  -72.787461
 20.223676  -73.179776
 25.863360  -73.421096
 31.573580  -73.507885
 37.251139  -73.440860
 42.796306  -73.225022
 48.123076  -72.869136
 53.166073  -72.384770
 57.883049  -71.785170
 62.253509  -71.084178
 66.274869  -70.295371
 69.957692  -69.431461
 73.321119  -68.503952
 76.389098  -67.523004
 79.187585  -66.497416
 81.742635  -65.434718
 84.079216  -64.341276
 86.220547  -63.222438
 88.187796  -62.082663
329.939892  -55.507605
331.721059  -56.985439
333.639939  -58.430076
335.711949  -59.837661
337.954016  -61.203825
340.384478  -62.523599
343.022818  -63.791326
345.889170  -65.000577
349.003476  -66.144090
352.384209  -67.213734
356.046555  -68.200545
  0.000000  -69.094843
  4.245425  -69.886479
  8.771957  -70.565241
 13.554149  -71.121420
 18.550266  -71.546524
 23.702550  -71.834049
 28.940083  -71.980199
 34.184183  -71.984384
 39.355471  -71.849391
 44.381087  -71.581170
 49.200506  -71.188284
 53.768898  -70.681148
 58.057858  -70.071218
 62.054008  -69.370245
 65.756311  -68.589689
 69.172941  -67.740306
 72.318295  -66.831909
 75.210481  -65.873255
 77.869389  -64.872028
 80.315310  -63.834887
 82.568024  -62.767542
 84.646249  -61.674851
 86.567333  -60.560919
 88.347133  -59.429187
331.008218  -54.030290
332.786524  -55.487077
334.693117  -56.910171
336.741164  -58.295824
338.944887  -59.639843
341.319419  -60.937532
343.880531  -62.183616
346.644161  -63.372197
349.625715  -64.496706
352.839039  -65.549904
356.295050  -66.523922
  0.000000  -67.410369
  3.953445  -68.200545
  8.146123  -68.885744
 12.558063  -69.457688
 17.157411  -69.909041
 21.900465  -70.233982
 26.733320  -70.428744
 31.595149  -70.492024
 36.422747  -70.425190
 41.155525  -70.232226
 45.740006  -69.919431
 50.133045  -69.494923
 54.303388  -68.968048
 58.231646  -68.348793
 61.909075  -67.647254
 65.335666  -66.873232
 68.518018  -66.035943
 71.467319  -65.143842
 74.197627  -64.204536
 76.724511  -63.224769
 79.064048  -62.210445
 81.232126  -61.166685
 83.243991  -60.097893
333.753253  -53.988284
335.644407  -55.390508
337.666254  -56.755086
339.830787  -58.078004
342.150555  -59.354816
344.638398  -60.580604
347.307033  -61.749933
350.168459  -62.856839
353.233143  -63.894830
356.508978  -64.856939
360.000000  -65.735820
  3.704950  -66.523922
  7.615791  -67.213734
 11.716414  -67.798113
 15.981819  -68.270674
 20.378068  -68.626219
 24.863276  -68.861146
 29.389682  -68.973788
 33.906632  -68.964609
 38.364037  -68.836230
 42.715736  -68.593273
 46.922228  -68.242046
 50.952408  -67.790123
 54.784205  -67.245894
 58.404263  -66.618125
 61.806933  -65.915585
 64.992893  -65.146751
 67.967659  -64.319601
 70.740181  -63.441484
 73.321640  -62.519057
 75.724471  -61.558268
 77.961628  -60.564367
334.633007  -52.490863
336.506653  -53.872837
338.501115  -55.217115
340.626541  -56.519852
342.893390  -57.776842
345.312179  -58.983483
347.893121  -60.134755
350.645631  -61.225214
353.577675  -62.249003
356.694965  -63.199902
  0.000000  -64.071421
  3.491022  -64.856939
  7.160961  -65.549904
 10.996524  -66.144090
